;0;1;2
606;2020-03-26;6533;19
607;2020-03-16;6534;19
608;2020-03-25;6534;11
609;2020-04-24;6611;11
610;2020-04-28;6611;18
611;2020-03-14;6631;19
612;2020-03-18;6631;13
613;2020-03-23;6631;25
614;2020-03-31;6631;17
615;2020-04-07;6631;17
616;2020-04-14;6631;11
617;2020-04-08;6632;22
618;2020-04-07;6633;20
619;2020-03-17;6634;15
620;2020-04-01;6634;26
621;2020-04-06;6634;12
622;2020-03-17;6635;13
623;2020-04-09;6636;21
624;2020-04-11;6636;22
625;2020-04-13;6636;12
626;2020-04-23;6636;21
627;2020-05-04;7000;28
628;2020-05-17;7131;13
629;2020-04-08;7132;11
630;2020-03-30;7133;18
631;2020-03-15;7135;17
632;2020-03-27;7135;17
633;2020-03-15;7137;25
634;2020-03-21;7137;13
635;2020-03-19;7138;11
636;2020-03-22;7138;13
637;2020-03-30;7138;13
638;2020-04-06;7138;18
639;2020-04-14;7138;11
640;2020-03-22;7143;14
641;2020-04-07;7143;29
642;2020-04-17;7143;14
643;2020-03-26;7232;17
644;2020-04-01;7232;16
645;2020-04-04;7233;17
646;2020-03-29;7235;20
647;2020-03-29;7314;11
648;2020-03-31;7314;14
649;2020-04-05;7314;17
650;2020-04-12;7314;28
651;2020-03-18;7315;15
652;2020-04-05;7315;17
653;2020-04-15;7315;16
654;2020-05-15;7315;11
655;2020-03-23;7316;11
656;2020-03-17;7319;11
657;2020-04-03;7319;16
658;2020-03-17;7331;13
659;2020-03-22;7333;12
660;2020-03-26;7333;12
661;2020-04-03;7334;16
662;2020-03-13;7336;12
663;2020-03-23;7338;27
664;2020-03-27;7338;16
665;2020-03-31;7338;29
666;2020-03-31;7339;13
667;2020-04-15;7339;19
668;2020-04-21;7339;11
669;2020-04-11;7340;11
670;2020-03-13;8111;38
671;2020-03-16;8111;70
672;2020-04-14;8111;20
673;2020-04-13;8115;17
674;2020-04-21;8115;16
675;2020-03-10;8116;16
676;2020-03-16;8116;76
677;2020-03-22;8116;48
678;2020-03-24;8116;64
679;2020-04-15;8116;28
680;2020-04-21;8116;45
681;2020-04-28;8116;12
682;2020-05-15;8116;18
683;2020-03-17;8117;18
684;2020-03-31;8117;52
685;2020-04-07;8117;29
686;2020-04-12;8117;20
687;2020-04-15;8117;24
688;2020-03-16;8118;16
689;2020-03-23;8118;61
690;2020-04-22;8118;40
691;2020-03-13;8119;12
692;2020-03-17;8119;17
693;2020-03-31;8119;53
694;2020-04-15;8119;29
695;2020-04-20;8119;13
696;2020-05-13;8119;24
697;2020-03-20;8121;11
698;2020-04-08;8121;19
699;2020-04-18;8121;18
700;2020-03-20;8125;23
701;2020-04-14;8125;17
702;2020-04-21;8125;14
703;2020-03-12;8126;12
704;2020-03-14;8126;25
705;2020-03-17;8126;66
706;2020-03-20;8126;35
707;2020-03-24;8126;17
708;2020-04-06;8126;32
709;2020-03-17;8127;26
710;2020-04-26;8127;21
711;2020-03-06;8128;16
712;2020-03-27;8128;22
713;2020-03-30;8128;13
714;2020-04-10;8128;17
715;2020-04-16;8128;11
716;2020-04-21;8128;14
717;2020-03-14;8135;12
718;2020-03-18;8135;15
719;2020-03-22;8135;11
720;2020-03-25;8135;29
721;2020-03-30;8135;35
722;2020-04-07;8135;29
723;2020-04-11;8135;34
724;2020-04-14;8135;12
725;2020-04-29;8135;38
726;2020-03-17;8136;46
727;2020-03-30;8136;23
728;2020-04-09;8136;78
729;2020-04-16;8136;43
730;2020-04-20;8136;43
731;2020-04-27;8136;22
732;2020-04-07;8211;11
733;2020-03-28;8212;15
734;2020-03-16;8215;17
735;2020-04-02;8215;108
736;2020-04-06;8215;21
737;2020-04-15;8215;18
738;2020-03-16;8216;11
739;2020-03-22;8216;46
740;2020-03-24;8216;29
741;2020-03-31;8216;19
742;2020-04-07;8216;19
743;2020-04-15;8216;11
744;2020-03-18;8221;19
745;2020-03-16;8222;32
746;2020-03-23;8222;38
747;2020-04-15;8225;51
748;2020-04-21;8225;12
749;2020-03-18;8226;46
750;2020-05-13;8226;15
751;2020-04-16;8231;36
752;2020-04-22;8231;22
753;2020-05-07;8231;14
754;2020-05-11;8231;14
755;2020-05-22;8231;11
756;2020-03-13;8235;12
757;2020-04-11;8235;40
758;2020-04-15;8235;13
759;2020-04-17;8235;18
760;2020-04-19;8235;24
761;2020-03-27;8236;20
762;2020-03-29;8236;21
763;2020-04-07;8236;17
764;2020-04-15;8236;11
765;2020-04-22;8236;41
766;2020-05-11;8236;17
767;2020-03-20;8237;15
768;2020-03-22;8237;28
769;2020-03-31;8237;12
770;2020-04-03;8237;37
771;2020-04-07;8237;51
772;2020-04-09;8237;48
773;2020-04-19;8237;31
774;2020-04-22;8237;11
775;2020-03-24;8311;43
776;2020-04-06;8311;29
777;2020-04-12;8311;13
778;2020-03-16;8315;15
779;2020-03-24;8315;50
780;2020-04-06;8315;14
781;2020-04-07;8315;46
782;2020-04-14;8315;31
783;2020-04-20;8315;17
784;2020-03-19;8316;33
785;2020-03-23;8316;17
786;2020-04-16;8316;12
787;2020-03-18;8317;14
788;2020-03-22;8317;27
789;2020-05-19;8317;25
790;2020-03-24;8325;18
791;2020-03-30;8325;31
792;2020-04-13;8325;32
793;2020-04-15;8325;24
794;2020-04-23;8325;18
795;2020-04-26;8325;15
796;2020-05-03;8325;12
797;2020-03-17;8326;11
798;2020-03-23;8326;12
799;2020-03-30;8326;21
800;2020-04-01;8326;29
801;2020-04-14;8326;16
802;2020-03-23;8327;12
803;2020-03-25;8327;35
804;2020-03-30;8327;25
805;2020-04-04;8327;34
806;2020-04-25;8327;41
807;2020-03-13;8335;18
808;2020-03-18;8335;13
809;2020-03-27;8335;13
810;2020-03-30;8335;31
811;2020-03-28;8336;34
812;2020-03-30;8336;27
813;2020-04-11;8336;16
814;2020-04-16;8336;13
815;2020-03-23;8337;14
816;2020-04-06;8337;11
817;2020-04-16;8337;13
818;2020-03-24;8415;55
819;2020-04-11;8415;77
820;2020-05-08;8415;19
821;2020-05-23;8415;11
822;2020-03-13;8416;21
823;2020-03-23;8416;38
824;2020-03-24;8416;184
825;2020-03-31;8416;61
826;2020-04-15;8416;32
827;2020-03-25;8417;58
828;2020-03-28;8417;61
829;2020-03-30;8417;40
830;2020-04-22;8417;37
831;2020-04-29;8417;21
832;2020-05-06;8417;14
833;2020-04-08;8425;25
834;2020-04-21;8425;11
835;2020-05-08;8425;33
836;2020-03-18;8426;23
837;2020-03-22;8426;19
838;2020-03-24;8426;32
839;2020-03-29;8426;15
840;2020-04-15;8426;12
841;2020-04-28;8426;12
842;2020-05-05;8426;11
843;2020-03-21;8435;11
844;2020-03-24;8435;31
845;2020-04-01;8435;13
846;2020-03-16;8436;17
847;2020-03-23;8436;36
848;2020-03-30;8436;23
849;2020-04-06;8436;13
850;2020-04-15;8436;14
851;2020-03-15;8437;13
852;2020-03-23;8437;22
853;2020-03-31;8437;49
854;2020-04-14;8437;37
855;2020-04-22;8437;16
856;2020-03-09;9000;84
857;2020-03-25;9161;13
858;2020-03-27;9161;24
859;2020-03-31;9161;14
860;2020-04-11;9161;27
861;2020-04-13;9161;22
862;2020-04-16;9161;18
863;2020-04-20;9161;13
864;2020-04-23;9161;15
865;2020-03-09;9162;22
866;2020-03-16;9162;65
867;2020-03-24;9163;15
868;2020-04-14;9163;13
869;2020-05-07;9163;20
870;2020-04-14;9171;17
871;2020-03-23;9172;11
872;2020-03-29;9172;12
873;2020-04-07;9172;19
874;2020-03-18;9173;11
875;2020-03-20;9173;21
876;2020-03-24;9173;19
877;2020-03-30;9173;16
878;2020-04-15;9173;17
879;2020-03-18;9174;24
880;2020-03-23;9174;14
881;2020-03-25;9174;52
882;2020-03-31;9174;43
883;2020-03-30;9175;16
884;2020-04-08;9175;25
885;2020-04-15;9175;19
886;2020-04-29;9175;15
887;2020-03-28;9176;19
888;2020-04-06;9176;15
889;2020-04-07;9177;28
890;2020-03-06;9178;19
891;2020-03-10;9178;12
892;2020-03-14;9178;22
893;2020-03-16;9178;18
894;2020-04-16;9178;12
895;2020-04-27;9178;12
896;2020-05-11;9178;13
897;2020-03-19;9179;16
898;2020-03-30;9179;16
899;2020-04-06;9179;17
900;2020-04-14;9179;15
901;2020-05-04;9179;13
902;2020-03-18;9180;11
903;2020-04-03;9180;38
904;2020-03-21;9181;20
905;2020-03-28;9181;14
906;2020-03-31;9181;17
907;2020-04-22;9181;16
908;2020-03-13;9182;16
909;2020-03-18;9182;14
910;2020-03-21;9182;47
911;2020-04-27;9182;11
912;2020-03-21;9183;16
913;2020-03-24;9183;16
914;2020-03-27;9183;28
915;2020-04-01;9183;28
916;2020-04-15;9183;25
917;2020-03-15;9184;25
918;2020-03-17;9184;26
919;2020-04-14;9184;16
920;2020-04-20;9184;18
921;2020-04-27;9184;16
922;2020-05-14;9184;11
923;2020-04-06;9185;13
924;2020-04-10;9185;25
925;2020-04-16;9185;14
926;2020-04-21;9185;16
927;2020-05-02;9185;14
928;2020-03-24;9186;14
929;2020-03-24;9187;96
930;2020-03-31;9187;100
931;2020-04-14;9187;71
932;2020-04-19;9187;49
933;2020-04-25;9187;38
934;2020-05-04;9187;11
935;2020-04-06;9188;11
936;2020-04-09;9188;23
937;2020-03-25;9189;42
938;2020-04-06;9189;33
939;2020-04-14;9189;26
940;2020-04-19;9189;13
941;2020-03-17;9190;13
942;2020-03-24;9190;16
943;2020-04-11;9190;14
944;2020-05-22;9190;11
945;2020-03-26;9261;26
946;2020-03-29;9261;16
947;2020-03-31;9261;21
948;2020-04-07;9261;24
949;2020-04-11;9261;11
950;2020-04-15;9261;12
951;2020-03-28;9262;11
952;2020-04-07;9263;18
953;2020-04-15;9263;36
954;2020-04-22;9263;31
955;2020-03-17;9271;11
956;2020-04-15;9271;11
957;2020-03-24;9272;11
958;2020-03-27;9272;24
959;2020-04-08;9273;34
960;2020-03-17;9274;12
961;2020-03-24;9274;21
962;2020-03-31;9274;27
963;2020-04-07;9274;39
964;2020-04-11;9274;25
965;2020-03-30;9275;17
966;2020-04-14;9275;15
967;2020-04-24;9275;52
968;2020-04-01;9276;13
969;2020-04-28;9276;11
970;2020-03-17;9277;15
971;2020-03-24;9277;13
972;2020-04-17;9277;11
973;2020-03-27;9278;12
974;2020-04-07;9278;28
975;2020-04-16;9278;21
976;2020-04-21;9278;14
977;2020-05-14;9278;35
978;2020-04-02;9279;12
979;2020-03-18;9362;19
980;2020-05-04;9362;14
981;2020-05-20;9362;37
982;2020-05-23;9362;12
983;2020-05-24;9362;43
984;2020-04-07;9363;16
985;2020-04-14;9363;13
986;2020-03-30;9371;15
987;2020-04-06;9371;34
988;2020-04-08;9371;72
989;2020-04-10;9371;29
990;2020-03-31;9372;25
991;2020-04-24;9372;14
992;2020-04-13;9373;35
993;2020-04-19;9373;14
994;2020-04-23;9373;11
995;2020-03-21;9374;15
996;2020-03-24;9374;24
997;2020-03-30;9374;32
